Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
COSTA DEL SOL,"1,715,000","1,345.5","1,275",Aug-20,BAYSHORE ROAD,Resale,Strata,125,"13,720",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,240,000","1,388.56",893,Jul-20,BAYSHORE ROAD,Resale,Strata,129,"9,612",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,850,000","1,560.78","1,185",Jul-20,BAYSHORE ROAD,Resale,Strata,145,"12,759",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,620,000","1,237.86","1,309",Jul-20,BAYSHORE ROAD,Resale,Strata,115,"14,087",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"1,925,000","1,474.67","1,305",Jul-20,BAYSHORE ROAD,Resale,Strata,137,"14,051",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,630,000","1,345.5","1,211",Jul-20,BAYSHORE ROAD,Resale,Strata,125,"13,040",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"2,350,000","2,066.69","1,137",Jul-20,BAYSHORE ROAD,Resale,Strata,192,"12,240",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,450,000","1,237.86","1,171",Apr-20,BAYSHORE ROAD,Resale,Strata,115,"12,609",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,628,000","1,227.1","1,327",Mar-20,BAYSHORE ROAD,Resale,Strata,114,"14,281",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,100,000","1,560.78","1,345",Feb-20,BAYSHORE ROAD,Resale,Strata,145,"14,483",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,720,000","1,345.5","1,278",Feb-20,BAYSHORE ROAD,Resale,Strata,125,"13,760",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"2,350,000","1,991.34","1,180",Feb-20,BAYSHORE ROAD,Resale,Strata,185,"12,703",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,760,000","1,474.67","1,193",Jan-20,BAYSHORE ROAD,Resale,Strata,137,"12,847",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,695,000","1,323.97","1,280",Nov-19,BAYSHORE ROAD,Resale,Strata,123,"13,780",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,735,000","1,323.97","1,310",Nov-19,BAYSHORE ROAD,Resale,Strata,123,"14,106",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,660,000","1,323.97","1,254",Nov-19,BAYSHORE ROAD,Resale,Strata,123,"13,496",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,790,000","1,313.21","1,363",Oct-19,BAYSHORE ROAD,Resale,Strata,122,"14,672",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,710,000","1,345.5","1,271",Oct-19,BAYSHORE ROAD,Resale,Strata,125,"13,680",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
COSTA DEL SOL,"1,560,000","1,313.21","1,188",Sep-19,BAYSHORE ROAD,Resale,Strata,122,"12,787",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05
COSTA DEL SOL,"1,260,899",947.23,"1,331",Sep-19,BAYSHORE ROAD,Resale,Strata,88,"14,328",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,550,000","1,345.5","1,152",Aug-19,BAYSHORE ROAD,Resale,Strata,125,"12,400",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,767,500","1,313.21","1,346",Aug-19,BAYSHORE ROAD,Resale,Strata,122,"14,488",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,700,000","1,237.86","1,373",Aug-19,BAYSHORE ROAD,Resale,Strata,115,"14,783",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"1,600,000","1,237.86","1,293",Jul-19,BAYSHORE ROAD,Resale,Strata,115,"13,913",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,11 to 15
COSTA DEL SOL,"2,100,000","1,937.52","1,084",Jul-19,BAYSHORE ROAD,Resale,Strata,180,"11,667",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,26 to 30
COSTA DEL SOL,"1,650,000","1,313.21","1,256",May-19,BAYSHORE ROAD,Resale,Strata,122,"13,525",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,06 to 10
COSTA DEL SOL,"1,980,000","1,474.67","1,343",May-19,BAYSHORE ROAD,Resale,Strata,137,"14,453",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,21 to 25
COSTA DEL SOL,"2,025,000","1,560.78","1,297",May-19,BAYSHORE ROAD,Resale,Strata,145,"13,966",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,16 to 20
